112170,112230
112056,112080
90540,90550
10205,10255
865669,865618
444142,426454
134996,123264
89658,89718
482620,480937
198636,343870
515209,54771
665305,665280
371776,371778
522759,523579
202730,326140
355776,355780
260133,277776
626766,903418
718769,715705
324432,239238
513793,330647
768319,768237
279671,279670
805716,805010
268253,272307
185881,355765
325201,213425
58644,741141
831868,921030
293205,210993
754033,753844
513726,195674
530602,878831
132310,126140
303505,303512
288565,241197
748471,748434
691862,655179
752734,790295
683388,892161
537332,207591
667276,667278
420731,411801
794409,794408
734661,734657
452372,425319
105374,105382
425024,436815
536643,536655
479272,925299
863205,26567
358317,660881
185243,132915
65195,822882
856053,67213
54986,796289
133164,133172
404178,636865
634924,634984
750820,706655
131185,131187
439566,436060
699225,699227
758235,758347
98136,98582
766660,766697
379044,358887
920632,920617
589251,585798
206327,334746
269263,269321
458581,458563
467135,874216
438275,438300
318701,318702
800898,800890
318398,745686
685152,464067
936318,936322
16777,25395
609104,864761
506216,504593
624993,26130
534241,534279
212859,212860
333544,203335
206960,169406
377866,377752
381878,420435
218142,250651
75984,75988
609722,609737
876753,876673
580420,882512
612186,698530
737069,810781
287896,224783
248863,248869
405202,409820
509511,508844
583178,585798
683151,19897
723501,506874
668691,942647
785936,471912
94049,535249
